ResponseId,frame,scenario_mapped,option_selected,rating,rating_num,rationale,age,age_num,gender,gender_num,ethnicity,ethnicity_num,education,education_num,continent,continent_num,ADP_num,ADP_familiar,student,student_num,NEP_Score,scenario_clean
R_pGhoEKhiwHyLeZX,loss,forest_loss,Proposal B,4: No Preference for Proposal A or B,4,Preference refers to a concept in utility theory. It refers to the attitude of decision makers towards returns and risks. The degree to which the decision-maker has a strong preference for an option or outcome   ,35 - 44 years old,2,Male,1,White or Caucasian,4,"Graduate or professional degree (MA, MS, MBA, PHd, JD, MD, etc.)",3,Asia,0,2,Yes,Yes,1,21,forest
R_3fN6ejrc5Mzyx4p,gain,forest_gain,Proposal A,3: Slight Preference for Propsal A,3,"I felt that ideally the less trees are left the more important it is to protect them, so while the best possible outcome is for all trees to survive, 300 is more than one third as good.",18 - 24 years old,0,Male,1,White or Caucasian,4,Bachelor's degree,1,Europe,1,1,No,Yes,1,16,forest
R_d4t4KzFDl27o8St,loss,animals_loss,Proposal B,5: Slight Preference for Proposal B,5,find oneself,55 - 64 years old,4,Female,0,White or Caucasian,4,Bachelor's degree,1,North America,2,2,Yes,No,0,28,animals
R_2XmMgYHu6oTOR97,loss,humans_loss,Proposal A,3: Slight Preference for Propsal A,3,"While both policies, on average, result in the same number of deaths, a straight reduction of deaths makes more sense for a one-time implementation of policy.",35 - 44 years old,2,Male,1,White or Caucasian,4,Bachelor's degree,1,North America,2,2,Yes,Yes,1,15,humans
R_2saOAfLuUzwLhW1,gain,animals_gain,Proposal A,2: Preference for Proposal A,2,I would rather save 300 than possibly kill even more,25 - 34 years old,1,Female,0,White or Caucasian,4,Bachelor's degree,1,North America,2,1,No,No,0,19,animals
R_11bU0B0YHaj3uHN,loss,animals_loss,Proposal A,3: Slight Preference for Propsal A,3,The risk of Plan A is lower,25 - 34 years old,1,Male,1,White or Caucasian,4,Bachelor's degree,1,North America,2,2,Yes,Yes,1,15,animals
R_1mmgInLRnn7YTMC,gain,animals_gain,Proposal A,3: Slight Preference for Propsal A,3,There are animals that will survive much better than Plan two,25 - 34 years old,1,Male,1,White or Caucasian,4,Associates or technical degree,0,Europe,1,2,Yes,Yes,1,12,animals
R_1gO3GfjzD48jXJw,loss,humans_loss,Proposal A,3: Slight Preference for Propsal A,3,,25 - 34 years old,1,Male,1,White or Caucasian,4,Completed high school / secondary school,2,North America,2,2,Yes,No,0,19,humans
R_2Slx3aGJLY67HV7,gain,animals_gain,Proposal A,1: Strong Preference for Proposal A,1,Protect animal life,25 - 34 years old,1,Female,0,White or Caucasian,4,"Graduate or professional degree (MA, MS, MBA, PHd, JD, MD, etc.)",3,Asia,0,2,Yes,Yes,1,8,animals
R_2axBKeXirx08fEl,gain,humans_gain,Proposal A,4: No Preference for Proposal A or B,4,e the rationale for your preference rating,18 - 24 years old,0,Female,0,Black/African/Caribbean,1,Associates or technical degree,0,Not Provided,3,2,Yes,Yes,1,25,humans
R_2V2Q3fNGxLv0XzT,loss,forest_loss,Proposal A,2: Preference for Proposal A,2,Proposition A Insurance,25 - 34 years old,1,Male,1,White or Caucasian,4,Associates or technical degree,0,North America,2,2,Yes,No,0,20,forest
R_C3IlEpyazR71BCN,loss,humans_loss,Proposal A,2: Preference for Proposal A,2,Proposition A Insurance,25 - 34 years old,1,Male,1,White or Caucasian,4,Associates or technical degree,0,North America,2,2,Yes,No,0,20,humans
R_21hLoybmI8jdgil,gain,forest_gain,Proposal A,4: No Preference for Proposal A or B,4,a insurance,25 - 34 years old,1,Male,1,White or Caucasian,4,Bachelor's degree,1,North America,2,2,Yes,No,0,20,forest
R_3qOFWUr60m9KJmX,gain,animals_gain,Proposal A,4: No Preference for Proposal A or B,4,a insurance,25 - 34 years old,1,Male,1,White or Caucasian,4,Bachelor's degree,1,North America,2,2,Yes,No,0,20,animals
R_UKfTzLjBP6Eef73,loss,forest_loss,Proposal B,7: Strong Preference for Proposal B,7,Better believe it than believe it.,35 - 44 years old,2,Male,1,White or Caucasian,4,Bachelor's degree,1,North America,2,2,Yes,No,0,13,forest
R_3McBb5a7BEZH7r7,loss,animals_loss,Proposal B,7: Strong Preference for Proposal B,7,https://lse.eu.qualtrics.com/jfe/form/SV_brLsIIwq9gdB6SO,25 - 34 years old,1,Female,0,White or Caucasian,4,"Graduate or professional degree (MA, MS, MBA, PHd, JD, MD, etc.)",3,North America,2,2,Yes,Yes,1,9,animals
R_1jHPMr958iwrKWk,gain,humans_gain,Proposal A,3: Slight Preference for Propsal A,3,,35 - 44 years old,2,Male,1,White or Caucasian,4,"Graduate or professional degree (MA, MS, MBA, PHd, JD, MD, etc.)",3,North America,2,1,No,No,0,22,humans
R_vuboPvGR1aCQ2Gd,gain,forest_gain,Proposal A,3: Slight Preference for Propsal A,3,no,45 - 54 years old,3,Other,2,Black/African/Caribbean,1,Bachelor's degree,1,Europe,1,1,No,Yes,1,23,forest
R_2wzyn2j2fHiS98W,loss,forest_loss,Proposal A,1: Strong Preference for Proposal A,1,good,35 - 44 years old,2,Female,0,Black/African/Caribbean,1,Completed high school / secondary school,2,Europe,1,1,No,Yes,1,18,forest
R_1jvT1o3ejFswDZa,gain,animals_gain,Proposal B,7: Strong Preference for Proposal B,7,,18 - 24 years old,0,Female,0,White or Caucasian,4,Bachelor's degree,1,North America,2,2,Yes,Yes,1,11,animals
R_2wLdljd7J0G61zK,loss,animals_loss,Proposal B,5: Slight Preference for Proposal B,5,"Plan A is death, Plan B is possible survival, since it is possible, why not try Plan B",25 - 34 years old,1,Male,1,White or Caucasian,4,Bachelor's degree,1,Europe,1,1,No,No,0,13,animals
R_3siteL17f7B7sUH,loss,humans_loss,Proposal A,2: Preference for Proposal A,2,It fits my idea,25 - 34 years old,1,Female,0,White or Caucasian,4,Bachelor's degree,1,Asia,0,2,Yes,Yes,1,9,humans
R_3F27J66mes4aCfT,gain,animals_gain,Proposal A,3: Slight Preference for Propsal A,3,"Wouldn't want to be responsible for the loss of all life, doing your best to save what is possible seems to be the best option.",25 - 34 years old,1,Female,0,White or Caucasian,4,"Graduate or professional degree (MA, MS, MBA, PHd, JD, MD, etc.)",3,Europe,1,1,No,Yes,1,10,animals
R_VL0gv7ben4GCA9j,gain,forest_gain,Proposal A,2: Preference for Proposal A,2,"Neither sound great, but at least A is guaranteed to protect some.",25 - 34 years old,1,Female,0,White or Caucasian,4,Completed high school / secondary school,2,South America,5,1,No,No,0,12,forest
R_6fjgKifM8fq64bT,loss,animals_loss,Proposal A,1: Strong Preference for Proposal A,1,I wouldnt want to risk loosing all of the animals. Saving at least 300 is good enough for me,18 - 24 years old,0,Female,0,White or Caucasian,4,Completed high school / secondary school,2,Europe,1,1,No,Yes,1,9,animals
R_Aole93GlI4WDiMN,loss,forest_loss,Proposal A,2: Preference for Proposal A,2,"Satisfied at the moment, I also really want not a single tree to be cut down, but no matter what I try, if I don’t succeed, then 900 trees will be cut down, so I prefer plan A",25 - 34 years old,1,Male,1,White or Caucasian,4,Some high school / secondary school or less,4,North America,2,0,I'm not sure,No,0,10,forest
R_w5z8C4OvI3FbZ4Z,gain,humans_gain,Proposal A,3: Slight Preference for Propsal A,3,More solid chance of survival ,18 - 24 years old,0,Male,1,White or Caucasian,4,Bachelor's degree,1,Europe,1,1,No,Yes,1,10,humans
R_2t5Npl2gFjvcawG,gain,animals_gain,Proposal A,3: Slight Preference for Propsal A,3,"2/3 is a lot of chance to have none saved, so sure chance to have 300 saved looks more ethical",25 - 34 years old,1,Male,1,White or Caucasian,4,"Graduate or professional degree (MA, MS, MBA, PHd, JD, MD, etc.)",3,Europe,1,1,No,Yes,1,20,animals
R_2tzhcIWTzSKmP6m,loss,humans_loss,Proposal B,7: Strong Preference for Proposal B,7,Y,25 - 34 years old,1,Male,1,White or Caucasian,4,Bachelor's degree,1,North America,2,1,No,Yes,1,21,humans
R_3qkFYtd7bQ5xM1o,loss,forest_loss,Proposal A,2: Preference for Proposal A,2,,18 - 24 years old,0,Male,1,Asian,0,"Graduate or professional degree (MA, MS, MBA, PHd, JD, MD, etc.)",3,Asia,0,1,No,Yes,1,16,forest
R_1Q57S8lDbWeNJKE,gain,forest_gain,Proposal A,2: Preference for Proposal A,2,na,35 - 44 years old,2,Female,0,White or Caucasian,4,Bachelor's degree,1,North America,2,1,No,No,0,26,forest
R_1CstPlB3Z1vMG63,gain,forest_gain,Proposal A,2: Preference for Proposal A,2,A sounds better.,25 - 34 years old,1,Female,0,Asian,0,Bachelor's degree,1,Asia,0,1,No,Yes,1,10,forest
R_d7mPnKpc7wwIT9n,loss,animals_loss,Proposal A,3: Slight Preference for Propsal A,3,preference for proposal,35 - 44 years old,2,Male,1,Asian,0,"Graduate or professional degree (MA, MS, MBA, PHd, JD, MD, etc.)",3,Asia,0,1,No,Yes,1,25,animals
R_2XhXLOpVuIAfcBb,loss,forest_loss,Proposal A,3: Slight Preference for Propsal A,3,Plan A can ensure at least 300 trees to live.,25 - 34 years old,1,Female,0,Asian,0,"Graduate or professional degree (MA, MS, MBA, PHd, JD, MD, etc.)",3,Europe,1,0,I'm not sure,Yes,1,11,forest
R_1fjERxd2JrHUBDf,loss,animals_loss,Proposal B,6: Preference for Proposal B,6,risk seeking for loss,25 - 34 years old,1,Female,0,Asian,0,"Graduate or professional degree (MA, MS, MBA, PHd, JD, MD, etc.)",3,Europe,1,1,No,Yes,1,21,animals
R_1eJZ6jpInzjSCo0,gain,humans_gain,Proposal A,3: Slight Preference for Propsal A,3,A can ensure at least 300 people to alive,25 - 34 years old,1,Female,0,Asian,0,"Graduate or professional degree (MA, MS, MBA, PHd, JD, MD, etc.)",3,Asia,0,1,No,Yes,1,13,humans
R_2aQs2YHHJGGOyiu,loss,humans_loss,Proposal B,6: Preference for Proposal B,6,概率的生还，是值得去拼搏的,25 - 34 years old,1,Male,1,Asian,0,Bachelor's degree,1,Asia,0,2,Yes,No,0,24,humans
R_PA5hvxWWipvv9x7,loss,humans_loss,Proposal A,1: Strong Preference for Proposal A,1,"I can't make the decision of death for others, but I should be stable to let more people live",25 - 34 years old,1,Female,0,White or Caucasian,4,Associates or technical degree,0,North America,2,2,Yes,No,0,17,humans
R_1GyjIFynyizrR5l,loss,animals_loss,Proposal A,3: Slight Preference for Propsal A,3,"Minimizing the mortality of Marine organisms is A good plan to maintain the ecology. If B is chosen, there will be a greater probability of causing the death of more Marine organisms, which is obvious, so I choose A",35 - 44 years old,2,Male,1,White or Caucasian,4,Associates or technical degree,0,North America,2,1,No,No,0,11,animals
R_3jeWLyRoasEV4Lm,gain,animals_gain,Proposal B,6: Preference for Proposal B,6,Proposal B more animals will be safe,18 - 24 years old,0,Male,1,Black/African/Caribbean,1,Bachelor's degree,1,North America,2,0,I'm not sure,Yes,1,12,animals
R_2hS1UF0dRoJuyT7,loss,animals_loss,Proposal A,2: Preference for Proposal A,2,Many animals will be saved than B,25 - 34 years old,1,Male,1,Prefer not to say,3,Associates or technical degree,0,Europe,1,0,I'm not sure,No,0,25,animals
R_eS5rjABSzu2MSRP,loss,forest_loss,Proposal B,5: Slight Preference for Proposal B,5,Slight outcome of less treees being logged,18 - 24 years old,0,Female,0,White or Caucasian,4,"Graduate or professional degree (MA, MS, MBA, PHd, JD, MD, etc.)",3,Europe,1,1,No,Yes,1,11,forest
R_1jThMvGOaPsmKh8,gain,forest_gain,Proposal A,1: Strong Preference for Proposal A,1,Being utterly sure thay the trees will be preserved,25 - 34 years old,1,Female,0,Black/African/Caribbean,1,"Graduate or professional degree (MA, MS, MBA, PHd, JD, MD, etc.)",3,Europe,1,1,No,Yes,1,8,forest
R_1FfDJHDMW1HyDAJ,loss,humans_loss,Proposal B,5: Slight Preference for Proposal B,5,at least people still have a chance to survive,25 - 34 years old,1,Female,0,Asian,0,"Graduate or professional degree (MA, MS, MBA, PHd, JD, MD, etc.)",3,Asia,0,1,No,Yes,1,20,humans
R_0xlEfSFhuktq8k9,gain,animals_gain,Proposal A,2: Preference for Proposal A,2,Better to save 300 than none at all,35 - 44 years old,2,Female,0,White or Caucasian,4,"Graduate or professional degree (MA, MS, MBA, PHd, JD, MD, etc.)",3,Oceania,4,1,No,Yes,1,16,animals
R_3MPBC0Rjv0fEcSk,gain,humans_gain,Proposal A,2: Preference for Proposal A,2,Plan A guarantees a third of the survivors,35 - 44 years old,2,Male,1,White or Caucasian,4,"Graduate or professional degree (MA, MS, MBA, PHd, JD, MD, etc.)",3,North America,2,2,Yes,No,0,10,humans
R_10T9Z2fjOg0IFMO,loss,forest_loss,Proposal A,1: Strong Preference for Proposal A,1,Because we still have to leave some trees for them to grow.,25 - 34 years old,1,Female,0,Asian,0,Associates or technical degree,0,North America,2,2,Yes,No,0,16,forest
R_3PYzBiq8hsa4ZGx,loss,animals_loss,Proposal B,6: Preference for Proposal B,6,none,35 - 44 years old,2,Male,1,Black/African/Caribbean,1,"Graduate or professional degree (MA, MS, MBA, PHd, JD, MD, etc.)",3,North America,2,2,Yes,Yes,1,19,animals
R_1zucqQ9Tg9JbBW9,loss,humans_loss,Proposal A,3: Slight Preference for Propsal A,3,The risks of Plan B are large and unbearable,35 - 44 years old,2,Male,1,White or Caucasian,4,Bachelor's degree,1,North America,2,2,Yes,No,0,15,humans
R_12GuOUXGXkRDMQI,gain,animals_gain,Proposal A,2: Preference for Proposal A,2,,25 - 34 years old,1,Male,1,White or Caucasian,4,Bachelor's degree,1,North America,2,2,Yes,No,0,22,animals
R_2SqRr4Ik7Xt180F,gain,humans_gain,Proposal A,2: Preference for Proposal A,2,"Because there is only a 1% chance of choosing b, although only 300 people in A can still plant trees",18 - 24 years old,0,Male,1,White or Caucasian,4,Associates or technical degree,0,North America,2,2,Yes,No,0,24,humans
R_2EB4Tgvzsa5wMDH,gain,forest_gain,Proposal A,1: Strong Preference for Proposal A,1,absence,25 - 34 years old,1,Female,0,Black/African/Caribbean,1,Completed high school / secondary school,2,North America,2,1,No,No,0,23,forest
R_OwiKJtRbkM2WaY1,gain,forest_gain,Proposal B,6: Preference for Proposal B,6,my use feel,35 - 44 years old,2,Female,0,White or Caucasian,4,Associates or technical degree,0,North America,2,2,Yes,No,0,13,forest
R_1gnCwFEmIOM8IJx,gain,humans_gain,Proposal A,4: No Preference for Proposal A or B,4,It feels the same.,18 - 24 years old,0,Female,0,White or Caucasian,4,Completed high school / secondary school,2,North America,2,0,I'm not sure,No,0,10,humans
R_1pEcaHA7tW3qK4Q,gain,animals_gain,Proposal B,6: Preference for Proposal B,6,Hopefully more animals will survive,25 - 34 years old,1,Male,1,White or Caucasian,4,"Graduate or professional degree (MA, MS, MBA, PHd, JD, MD, etc.)",3,North America,2,2,Yes,No,0,8,animals
R_WfhjAfmyx5KpXMZ,loss,forest_loss,Proposal A,2: Preference for Proposal A,2,,35 - 44 years old,2,Male,1,White or Caucasian,4,Associates or technical degree,0,North America,2,2,Yes,No,0,11,forest
R_3dYBRsnR4sMWKqA,gain,humans_gain,Proposal A,1: Strong Preference for Proposal A,1,Survival rate is higher than B,18 - 24 years old,0,Female,0,Black/African/Caribbean,1,Some high school / secondary school or less,4,Europe,1,2,Yes,Yes,1,10,humans
R_1CgueOjgTYGxOkq,gain,forest_gain,Proposal A,3: Slight Preference for Propsal A,3,NO,25 - 34 years old,1,Male,1,White or Caucasian,4,Associates or technical degree,0,Not Provided,3,2,Yes,Yes,1,23,forest
R_2y2a7kh1IGUV8M3,loss,animals_loss,Proposal A,2: Preference for Proposal A,2,Many will survive,25 - 34 years old,1,Female,0,White or Caucasian,4,Bachelor's degree,1,Europe,1,2,Yes,No,0,19,animals
R_3kGQIbfu9gB5AUa,gain,forest_gain,Proposal A,3: Slight Preference for Propsal A,3,At least 300 trees can be kept to avoid it.,25 - 34 years old,1,Female,0,White or Caucasian,4,Bachelor's degree,1,North America,2,0,I'm not sure,No,0,17,forest
R_yqGQtJCNm7Kybi9,loss,animals_loss,Proposal B,5: Slight Preference for Proposal B,5,emm,25 - 34 years old,1,Female,0,White or Caucasian,4,Bachelor's degree,1,North America,2,2,Yes,No,0,28,animals
R_2QuDRxDflkfBBeT,gain,forest_gain,Proposal A,2: Preference for Proposal A,2,Option A ensures that at least 300 trees are protected. This scheme provides a definitive solution that ensures the preservation of a portion of the trees,25 - 34 years old,1,Male,1,White or Caucasian,4,Associates or technical degree,0,North America,2,1,No,No,0,10,forest
R_1mW6PdwEs8r1TXv,gain,animals_gain,Proposal B,6: Preference for Proposal B,6,Oil spill is related to the industrial chain.,18 - 24 years old,0,Other,2,White or Caucasian,4,Completed high school / secondary school,2,North America,2,0,I'm not sure,Yes,1,14,animals
R_2y4asQP1DyBe3XH,loss,humans_loss,Proposal A,2: Preference for Proposal A,2,,25 - 34 years old,1,Female,0,Asian,0,Some high school / secondary school or less,4,North America,2,0,I'm not sure,No,0,15,humans
R_2VqACMPK4Bnb4KE,loss,humans_loss,Proposal A,2: Preference for Proposal A,2,,25 - 34 years old,1,Female,0,Black/African/Caribbean,1,Some high school / secondary school or less,4,North America,2,0,I'm not sure,No,0,15,humans
R_2xIY3JPtjjpm9Ra,gain,animals_gain,Proposal A,2: Preference for Proposal A,2,,25 - 34 years old,1,Female,0,Black/African/Caribbean,1,Some high school / secondary school or less,4,North America,2,0,I'm not sure,No,0,15,animals
R_CZBz9kbilBkv6uZ,loss,animals_loss,Proposal B,7: Strong Preference for Proposal B,7,For sure save the marine animals,25 - 34 years old,1,Female,0,Asian,0,"Graduate or professional degree (MA, MS, MBA, PHd, JD, MD, etc.)",3,Asia,0,2,Yes,Yes,1,8,animals
R_6XMOLr0Pn3rvyut,loss,forest_loss,Proposal A,1: Strong Preference for Proposal A,1,,55 - 64 years old,4,Male,1,White or Caucasian,4,Bachelor's degree,1,North America,2,2,Yes,Yes,1,11,forest
R_31Eqja5qDmGpSwG,loss,forest_loss,Proposal A,2: Preference for Proposal A,2,Option B is more likely to have more trees cut down.,25 - 34 years old,1,Male,1,White or Caucasian,4,Bachelor's degree,1,North America,2,0,I'm not sure,No,0,13,forest
R_1P1QGQoH6XtiELA,loss,humans_loss,Proposal A,2: Preference for Proposal A,2,Scheme A has a high probability and the least danger.,25 - 34 years old,1,Male,1,White or Caucasian,4,Completed high school / secondary school,2,North America,2,2,Yes,No,0,9,humans
R_1N52OX2C7i83OIG,gain,animals_gain,Proposal A,4: No Preference for Proposal A or B,4,,25 - 34 years old,1,Male,1,Asian,0,Associates or technical degree,0,North America,2,2,Yes,No,0,16,animals
R_ZenOyJ5ZgEHMk25,loss,animals_loss,Proposal A,2: Preference for Proposal A,2,,25 - 34 years old,1,Male,1,White or Caucasian,4,Bachelor's degree,1,North America,2,2,Yes,No,0,14,animals
R_2bZ497hcowQpXl8,gain,humans_gain,Proposal B,6: Preference for Proposal B,6,Most hopeful,18 - 24 years old,0,Male,1,White or Caucasian,4,Bachelor's degree,1,North America,2,2,Yes,No,0,11,humans
R_3Mfyf4ndn2XBnBY,gain,humans_gain,Proposal B,6: Preference for Proposal B,6,Most hopeful,25 - 34 years old,1,Male,1,White or Caucasian,4,"Graduate or professional degree (MA, MS, MBA, PHd, JD, MD, etc.)",3,North America,2,2,Yes,No,0,12,humans
R_3ixtW3JpdYVCFJC,loss,forest_loss,Proposal B,5: Slight Preference for Proposal B,5,"I chose option B, because there is still some chance that none of the trees will be cleared. But it is a slight preference due to the risk of clearing even more trees than in option A.",25 - 34 years old,1,Female,0,White or Caucasian,4,"Graduate or professional degree (MA, MS, MBA, PHd, JD, MD, etc.)",3,Europe,1,1,No,Yes,1,11,forest
R_1qVCaJSNGJxL5LZ,loss,humans_loss,Proposal A,2: Preference for Proposal A,2,,25 - 34 years old,1,Female,0,Asian,0,Completed high school / secondary school,2,Not Provided,3,2,Yes,No,0,19,humans
