StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q1. Metadata_Browser,Q1. Metadata_Version,Q1. Metadata_Operating System,Q1. Metadata_Resolution,Q2. Time_First Click,Q2. Time_Last Click,Q2. Time_Page Submit,Q2. Time_Click Count,Q3. Consent,"Q10. GS1, Time_First Click","Q10. GS1, Time_Last Click","Q10. GS1, Time_Page Submit","Q10. GS1, Time_Click Count","Q12. GS1, Option","Q13. GS1, Rating","Q13. GS1, Rationale","Q10. GS2, Time_First Click","Q10. GS2, Time_Last Click","Q10. GS2, Time_Page Submit","Q10. GS2, Time_Click Count","Q12. GS2, Option","Q13. GS2, Rating","Q14. GS2, Rationale","Q10. GS3, Time_First Click","Q10. GS3, Time_Last Click","Q10. GS3, Time_Page Submit","Q10. GS3, Time_Click Count","Q12. GS3, Option.","Q13. GS3, Rating","Q14. GS3, Rationle","Q10. LS1, Time_First Click","Q10. LS1, Time_Last Click","Q10. LS1, Time_Page Submit","Q10. LS1, Time_Click Count","Q12. LS1, Option","Q13. LS1, Rating","Q14. LS1, Rationale","Q10. LS2, Time_First Click","Q10. LS2, Time_Last Click","Q10. LS2, Time_Page Submit","Q10. LS2, Time_Click Count","Q12. LS2, Option","Q13. LS2, Rating","Q14. LS2, Rationale","Q10. LS3, Time_First Click","Q10. LS3, Time_Last Click","Q10. LS3, Time_Page Submit","Q10. LS3, Time_Click Count","Q12. LS3, Option","Q13. LS3, Rating","Q14. LS3, Rationale",Q34_First Click,Q34_Last Click,Q34_Page Submit,Q34_Click Count,Q. NEP_1,Q. NEP_2,Q. NEP_3,Q. NEP_4,Q. NEP_5,Q. NEP_6,Q. NEP_7,Q. NEP_8,"Q4. Dem, Time1_First Click","Q4. Dem, Time1_Last Click","Q4. Dem, Time1_Page Submit","Q4. Dem, Time1_Click Count",Q5. Age,Q6. Gender,Q6. Gender_4_TEXT,Q8. Ethnicity,Q8. Ethnicity_6_TEXT,"Q7. Dem, Time2_First Click","Q7. Dem, Time2_Last Click","Q7. Dem, Time2_Page Submit","Q7. Dem, Time2_Click Count",Q9. Education,Q10. Country,Q10. Student,Q91,Q62,Q62_2_TEXT,Q63,Q63_2_TEXT,Q61,Condition
6/30/23 7:16,6/30/23 7:18,IP Address,100,129,TRUE,6/30/23 7:18,R_2aslBOe9982yOUw,anonymous,EN,1,Edge,114.0.1823.58,Windows NT 10.0,1920x1080,27.345,27.345,29.01,1,"Yes, I provide my consent and want to take part.",3.557,7.694,9.431,3,Proposal B,4: No preference for Proposal A or B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.381,5.921,7.085,9,"1: Strongly
Agree","1: Strongly
Agree","1: Strongly
Agree","1: Strongly
Agree","1: Strongly
Agree","1: Strongly
Agree","1: Strongly
Agree","1: Strongly
Agree",1.884,1.884,3.48,1,25 - 34 years old,Male,,White or Caucasian,,5.612,12.947,14.302,3,Associates or technical degree,us,No,Yes,Yes,,Yes,,The order of survey questions can be optimized so that the logic is clearer and easier to answer,0
6/30/23 7:10,6/30/23 7:19,IP Address,100,480,TRUE,6/30/23 7:19,R_3fPK05wtfzgynpL,anonymous,EN,0.300000012,Chrome,109.0.0.0,Windows NT 6.3,1280x720,0.741,94.237,118.635,2,"Yes, I provide my consent and want to take part.",,,,,,,,35.062,182.113,188.854,7,Proposal A,1: Strong Preference for Proposal A,Plan A is safer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.621,32.06,33.803,8,2: Somewhat Agree,"1: Strongly
Agree",2: Somewhat Agree,"1: Strongly
Agree","1: Strongly
Agree","1: Strongly
Agree","1: Strongly
Agree","1: Strongly
Agree",3.436,3.436,5.341,1,35 - 44 years old,Female,,White or Caucasian,,3.403,28.513,30.245,3,Bachelor's degree,America,No,I'm not sure,Yes,,Yes,,,1
6/30/23 7:19,6/30/23 7:22,IP Address,100,208,TRUE,6/30/23 7:22,R_1inAAY1EjXY5uip,anonymous,EN,0.800000012,Edge,114.0.1823.58,Windows NT 10.0,1920x1080,12.381,13.434,14.349,3,"Yes, I provide my consent and want to take part.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.321,99.72,100.975,10,Proposal B,6: Preference for Proposal B,adasdad,5.669,10.141,11.084,8,3: Neutral,2: Somewhat Agree,3: Neutral,3: Neutral,3: Neutral,3: Neutral,3: Neutral,3: Neutral,6.301,6.301,7.162,1,25 - 34 years old,Female,,White or Caucasian,,6.689,14.881,15.568,3,Associates or technical degree,daad,No,Yes,Yes,,Yes,,adad,5
6/30/23 7:27,6/30/23 7:41,IP Address,100,853,TRUE,6/30/23 7:41,R_1rpFtYKkYSYlGuB,anonymous,EN,0.400000006,Chrome,102.0.0.0,Windows NT 6.3,1920x1080,15.773,24.869,25.862,2,"Yes, I provide my consent and want to take part.",,,,,,,,3.315,396.882,399.193,10,Proposal A,2: Preference for Proposal A,The probability that choice A is stable and choice B is 1/3 is not very high   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.456,58.035,59.03,8,2: Somewhat Agree,"1: Strongly
Agree","1: Strongly
Agree","1: Strongly
Agree","1: Strongly
Agree","1: Strongly
Agree","1: Strongly
Agree","1: Strongly
Agree",6.281,6.281,8.748,1,25 - 34 years old,Male,,White or Caucasian,,3.776,30.131,31.201,4,Bachelor's degree,America   ,No,Yes,Yes,,Yes,,Don't ask about race   ,1
6/30/23 7:17,6/30/23 7:51,IP Address,100,2026,TRUE,6/30/23 7:51,R_3MQLJzkNX9ZKGeD,anonymous,EN,0.800000012,Chrome,93.0.4577.82,Windows NT 6.1,1366x768,8.974,58.531,62.334,3,"Yes, I provide my consent and want to take part.",,,,,,,,,,,,,,,44.497,991.94,1000.062,10,Proposal B,6: Preference for Proposal B,"Because, every life is worthy of respect, but in bad circumstances should choose more people can survive, rather than let 600 people directly declared dead as in answer one.",,,,,,,,,,,,,,,,,,,,,,49.077,118.85,135.307,9,2: Somewhat Agree,"1: Strongly
Agree","1: Strongly
Agree",3: Neutral,"1: Strongly
Agree",4: Somewhat Disagree,"1: Strongly
Agree","1: Strongly
Agree",93.754,95.213,100.638,2,25 - 34 years old,Male,,White or Caucasian,,72.731,118.659,120.948,4,"Graduate or professional degree (MA, MS, MBA, PHd, JD, MD, etc.)",America,No,Yes,Yes,,Yes,,The survey makes people realize that the earth has a certain carrying capacity and we should protect the earth.,2
6/30/23 7:42,6/30/23 7:52,IP Address,100,649,TRUE,6/30/23 7:52,R_vYmkyLhPdtgZbBD,anonymous,EN,,Chrome,103.0.0.0,Windows NT 6.3,1920x1080,73.574,73.574,74.539,1,"Yes, I provide my consent and want to take part.",,,,,,,,,,,,,,,,,,,,,,129.172,314.794,323.776,6,Proposal A,2: Preference for Proposal A,No room for error,,,,,,,,,,,,,,,3.025,7.647,8.591,8,"1: Strongly
Agree","1: Strongly
Agree","1: Strongly
Agree","1: Strongly
Agree","1: Strongly
Agree","1: Strongly
Agree","1: Strongly
Agree","1: Strongly
Agree",7.052,8.869,10.21,2,25 - 34 years old,Female,,White or Caucasian,,2.303,24.517,25.597,4,Associates or technical degree,America,No,Yes,Yes,,Yes,,It's very simple and very well done,3
6/30/23 8:10,6/30/23 8:12,IP Address,100,117,TRUE,6/30/23 8:12,R_1ocIFtWgQEFTLfH,anonymous,EN,0.899999976,Safari,16.4,Macintosh,1440x900,2.618,2.618,3.24,1,"Yes, I provide my consent and want to take part.",,,,,,,,,,,,,,,19.361,24.241,48.03,4,Proposal A,3: Slight Preference for Propsal A,"I don't like the idea of putting all 900 people's lives on the lives, I'd rather have 300 guaranteed lives safe.",,,,,,,,,,,,,,,,,,,,,,5.437,30.337,31.579,9,3: Neutral,4: Somewhat Disagree,"1: Strongly
Agree","1: Strongly
Agree",2: Somewhat Agree,2: Somewhat Agree,2: Somewhat Agree,3: Neutral,0.851,0.851,2.076,1,18 - 24 years old,Male,,White or Caucasian,,2.29,5.689,6.583,4,Completed high school / secondary school,Australia,Yes,No,Yes,,"No, please describe:",,,2
6/30/23 8:58,6/30/23 9:03,IP Address,100,298,TRUE,6/30/23 9:03,R_2YmiZm2OCCVrq7x,anonymous,EN,1,Safari iPhone,16.5.1,iPhone,414x896,7.534,22.183,23.208,4,"Yes, I provide my consent and want to take part.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.601,82.601,145.63,11,Proposal A,5: Slight reference for Proposal B,I looked at the odds of all the trees being removed vs some remaining. While u would prefer less trees be removed i thought it would be less likely to happen,,,,,,,,8.065,57.915,59.466,25,"1: Strongly
Agree",3: Neutral,2: Somewhat Agree,"1: Strongly
Agree",2: Somewhat Agree,"1: Strongly
Agree",3: Neutral,"1: Strongly
Agree",2.462,3.146,4.611,2,25 - 34 years old,Female,,White or Caucasian,,3.404,11.756,13.981,8,"Graduate or professional degree (MA, MS, MBA, PHd, JD, MD, etc.)",Australia ,No,No,Yes,,Yes,,,4
6/30/23 9:00,6/30/23 9:05,IP Address,100,270,TRUE,6/30/23 9:05,R_2zMWHKgL9aZY5R7,anonymous,EN,0.899999976,Safari,15.3,Macintosh,768x1024,2.344,16.049,17.005,5,"Yes, I provide my consent and want to take part.",0.777,53.315,131.715,9,Proposal A,3: Slight Preference for Propsal A,Media coverage will probably be worse and the option as a whole would be less justifiable if it goes wrong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.165,50.621,51.548,14,2: Somewhat Agree,3: Neutral,2: Somewhat Agree,"1: Strongly
Agree",3: Neutral,3: Neutral,2: Somewhat Agree,"1: Strongly
Agree",1.637,2.196,3.27,2,18 - 24 years old,Non-binary / third gender,,White or Caucasian,,14.146,28.034,28.83,5,Associates or technical degree,England ,Yes,No,Yes,,Yes,,,0
6/30/23 9:00,6/30/23 9:14,IP Address,100,843,TRUE,6/30/23 9:14,R_1FbkLFluHgZjH4E,anonymous,EN,0.800000012,Chrome,109.0.0.0,Windows NT 10.0,1600x900,11.877,60.501,61.729,3,"Yes, I provide my consent and want to take part.",,,,,,,,113.342,124.06,178.201,3,Proposal A,2: Preference for Proposal A,Plan a is safer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.695,125.274,126.645,8,3: Neutral,3: Neutral,3: Neutral,3: Neutral,3: Neutral,3: Neutral,3: Neutral,3: Neutral,31.186,31.186,33.09,1,25 - 34 years old,Female,,White or Caucasian,,21.842,93.566,94.882,3,Bachelor's degree,us,No,No,Yes,,Yes,,Good at communication,1
